date,total_pc,index_pc,etp_pc,equity_pc,call_volume,put_volume
2022-03-02,0.95,1.34,1.24,0.55,2974210.0,2824342.0
2022-03-03,0.94,1.22,1.36,0.59,2853859.0,2674066.0
2022-03-04,0.95,1.21,1.12,0.67,3598570.0,3433611.0
2022-03-07,0.92,1.36,1.03,0.57,3612087.0,3325164.0
2022-03-08,0.96,1.37,1.3,0.52,3478650.0,3335797.0
2022-03-09,1.14,1.67,1.56,0.54,2841017.0,3231024.0
2022-03-10,0.94,1.17,1.27,0.6,2605391.0,2452251.0
2022-03-11,1.05,1.44,1.27,0.66,3032693.0,3192805.0
2022-03-14,1.0,1.16,1.37,0.63,3288232.0,3291619.0
2022-03-15,1.06,1.39,1.3,0.7,2541619.0,2706579.0
2022-03-16,1.01,1.5,1.19,0.56,3335329.0,3382396.0
2022-03-17,0.91,1.33,1.07,0.56,3081116.0,2813963.0
2022-03-18,0.78,1.07,1.14,0.45,4378445.0,3413251.0
2022-03-21,0.83,1.3,1.0,0.46,3338930.0,2784561.0
2022-03-22,0.93,1.27,1.53,0.49,2942961.0,2728833.0
2022-03-23,0.85,1.23,1.27,0.48,3088098.0,2638770.0
2022-03-24,0.84,1.54,1.1,0.47,2712293.0,2272349.0
2022-03-25,0.87,1.21,1.22,0.5,3649696.0,3168323.0
2022-03-28,0.9,1.47,1.18,0.45,2988495.0,2702054.0
2022-03-29,0.93,1.65,1.26,0.41,3485996.0,3241238.0
2022-03-30,0.86,1.47,1.16,0.42,3193650.0,2754129.0
2022-03-31,1.0,1.44,1.24,0.55,2936751.0,2944980.0
2022-04-01,1.02,1.61,1.24,0.59,3110290.0,3175663.0
2022-04-04,0.81,1.23,1.01,0.48,2985024.0,2421089.0
2022-04-05,0.95,1.47,1.14,0.58,2594062.0,2463670.0
2022-04-06,0.94,1.01,1.42,0.6,3571460.0,3347867.0
2022-04-07,0.88,1.2,1.2,0.6,2684033.0,2373790.0
2022-04-08,0.95,1.45,1.17,0.57,2894295.0,2752120.0
2022-04-11,1.01,1.38,1.38,0.55,2762475.0,2782410.0
2022-04-12,0.94,1.52,1.06,0.52,2730429.0,2572568.0
2022-04-13,0.91,1.28,1.16,0.51,2946418.0,2686150.0
2022-04-14,0.9,1.34,1.23,0.5,3292799.0,2966338.0
2022-04-15,,,,,,
2022-04-18,0.95,1.47,1.34,0.45,2818144.0,2672438.0
